var_name,offset,pre-run-data,post-run-data
acceleration_y,3,0,0
acceleration_y,4,4,4
acceleration_y,5,0,0
acceleration_y,6,0,0
acceleration_y,7,0,0
acceleration_y,8,7,7
acceleration_y,9,0,0
acceleration_y,10,0,0
acceleration_y,11,0,0
acceleration_y,12,10,10
acceleration_y,13,0,0
acceleration_y,14,0,0
acceleration_y,15,0,0
acceleration_y,16,13,13
acceleration_y,17,0,0
acceleration_y,18,0,0
acceleration_y,19,0,0
acceleration_y,20,16,16
acceleration_y,21,0,0
acceleration_y,22,0,0
acceleration_y,23,0,0
acceleration_y,24,19,19
acceleration_y,25,0,0
acceleration_y,26,0,0
acceleration_y,27,0,0
acceleration_y,28,22,22
acceleration_y,29,0,0
acceleration_y,30,0,0
acceleration_y,31,0,0
acceleration_y,32,25,25
acceleration_y,33,0,0
acceleration_y,34,0,0
acceleration_y,35,0,0
acceleration_y,36,28,28
acceleration_y,37,0,0
acceleration_y,38,0,0
acceleration_y,39,0,0
acceleration_y,40,31,31
acceleration_y,41,0,0
acceleration_y,42,0,0
acceleration_y,43,0,0
acceleration_y,44,34,34
acceleration_y,45,0,0
acceleration_y,46,0,0
acceleration_y,47,0,0
acceleration_y,48,37,37
acceleration_y,49,0,0
acceleration_y,50,0,0
acceleration_y,51,0,0
acceleration_y,52,40,40
acceleration_y,53,0,0
acceleration_y,54,0,0
acceleration_y,55,0,0
acceleration_y,56,43,43
acceleration_y,57,0,0
acceleration_y,58,0,0
acceleration_y,59,0,0
acceleration_y,60,46,46
acceleration_y,61,0,0
acceleration_y,62,0,0
acceleration_y,63,0,0
acceleration_z,0,2,2
acceleration_z,1,0,0
acceleration_z,2,0,0
acceleration_z,3,0,0
acceleration_z,4,5,5
acceleration_z,5,0,0
acceleration_z,6,0,0
acceleration_z,7,0,0
acceleration_z,8,8,8
acceleration_z,9,0,0
acceleration_z,10,0,0
acceleration_z,11,0,0
acceleration_z,12,11,11
acceleration_z,13,0,0
acceleration_z,14,0,0
acceleration_z,15,0,0
acceleration_z,16,14,14
acceleration_z,17,0,0
acceleration_z,18,0,0
acceleration_z,19,0,0
acceleration_z,20,17,17
acceleration_z,21,0,0
acceleration_z,22,0,0
acceleration_z,23,0,0
acceleration_z,24,20,20
acceleration_z,25,0,0
acceleration_z,26,0,0
acceleration_z,27,0,0
acceleration_z,28,23,23
acceleration_z,29,0,0
acceleration_z,30,0,0
acceleration_z,31,0,0
acceleration_z,32,26,26
acceleration_z,33,0,0
acceleration_z,34,0,0
acceleration_z,35,0,0
acceleration_z,36,29,29
acceleration_z,37,0,0
acceleration_z,38,0,0
acceleration_z,39,0,0
acceleration_z,40,32,32
acceleration_z,41,0,0
acceleration_z,42,0,0
acceleration_z,43,0,0
acceleration_z,44,35,35
acceleration_z,45,0,0
acceleration_z,46,0,0
acceleration_z,47,0,0
acceleration_z,48,38,38
acceleration_z,49,0,0
acceleration_z,50,0,0
acceleration_z,51,0,0
acceleration_z,52,41,41
acceleration_z,53,0,0
acceleration_z,54,0,0
acceleration_z,55,0,0
acceleration_z,56,44,44
acceleration_z,57,0,0
acceleration_z,58,0,0
acceleration_z,59,0,0
acceleration_z,60,47,47
acceleration_z,61,0,0
acceleration_z,62,0,0
acceleration_z,63,0,0
km,0,0,0
km,1,0,0
km,2,0,0
km,3,0,0
km,4,0,0
km,5,0,0
km,6,0,0
km,7,0,0
km,8,0,1
km,9,0,0
km,10,0,0
km,11,0,0
km,12,0,3
km,13,0,0
km,14,0,0
km,15,0,0
km,16,0,5
km,17,0,0
km,18,0,0
km,19,0,0
km,20,0,7
km,21,0,0
km,22,0,0
km,23,0,0
km,24,0,9
km,25,0,0
km,26,0,0
km,27,0,0
km,28,0,11
km,29,0,0
km,30,0,0
km,31,0,0
km,32,0,13
km,33,0,0
km,34,0,0
km,35,0,0
km,36,0,15
km,37,0,0
km,38,0,0
km,39,0,0
km,40,0,17
km,41,0,0
km,42,0,0
km,43,0,0
km,44,0,19
km,45,0,0
km,46,0,0
km,47,0,0
km,48,0,21
km,49,0,0
km,50,0,0
km,51,0,0
km,52,0,23
km,53,0,0
km,54,0,0
km,55,0,0
km,56,0,25
km,57,0,0
km,58,0,0
km,59,0,0
km,60,0,27
km,61,0,0
km,62,0,0
km,63,0,0
step,0,0,0
step,1,0,0
step,2,0,0
step,3,0,0
step,4,0,0
step,5,0,0
step,6,0,0
step,7,0,0
step,8,0,2
step,9,0,0
step,10,0,0
step,11,0,0
step,12,0,4
step,13,0,0
step,14,0,0
step,15,0,0
step,16,0,6
step,17,0,0
step,18,0,0
step,19,0,0
step,20,0,8
step,21,0,0
step,22,0,0
step,23,0,0
step,24,0,10
step,25,0,0
step,26,0,0
step,27,0,0
step,28,0,12
step,29,0,0
step,30,0,0
step,31,0,0
step,32,0,14
step,33,0,0
step,34,0,0
step,35,0,0
step,36,0,16
step,37,0,0
step,38,0,0
step,39,0,0
step,40,0,18
step,41,0,0
step,42,0,0
step,43,0,0
step,44,0,20
step,45,0,0
step,46,0,0
step,47,0,0
step,48,0,22
step,49,0,0
step,50,0,0
step,51,0,0
step,52,0,24
step,53,0,0
step,54,0,0
step,55,0,0
step,56,0,26
step,57,0,0
step,58,0,0
step,59,0,0
step,60,0,28
step,61,0,0
step,62,0,0
step,63,0,0
